Text,label
中国 人口 素质 差异 外国人 总说 中国 素质 低 真的 中国 素质 低 ,None
努力 变好 没什么 ,Love
很难 抢 好贵 感觉 真的 买不起 安卓机 用个 一年 多点 j 卡 要死 ,Sorrow
我妈 小腿 长 信 我妈 腿 长 信 ,None
死 不耐烦 美国 连续 玩 48 小时 到达 城市 ,None
露露 说 真 好 ,Love
亲爱 公司 统一 工装 信 摩尔 三层 蓝帝 现货 行 ,None
明年 做 瘦 姑妈 ,None
哗 皮肤 太 好 ,Love
求 学习 ,None
很 舒心 很 自由 很 坦然 ,Love
回来 兴奋 很 ,Happiness
正 研究 硬 一发 ,None
小马 喜欢 ,Love
隔壁 山东 老爷子 儿子 生 孙子 二胎 不让 媳妇 生 女儿 女儿 掉 ,Disgust
估计 认错 毛衣 超级 好看 ,Love
恐怕 江西 个案 兄弟 ,None
无聊 会 爱 吵架 ,None
倒 想 回来 可惜 现实 ,Sorrow
喜欢 那种 画风 ,Disgust
求 帮忙 选个色 嘻嘻 ,Happiness
很多 一方 另一方 ,None
休息 一个月 锻炼 ,None
我见 同学 手机 打出 没试 ,None
昨天 吃 匹萨 假期 结束 组织 活动 哦 假期 结束 活动 无穷 欢乐谷 好玩 ,Love
发超话 亲爱 超话 里 哪能 明说 事 ,None
早说 开会 回去 送 ,None
生日快乐 ,None
最 支持 语文课 ,Love
味道 ,None
第一个 叫蕉香 樱桃 饼 好吃 ,None
我光 买 围裙 ,None
月 结算 互动 包括 转战 评 爱 ,Love
比例 不好 更显 矮 ,None
下次 跑 完 冯薪朵 女人 ” 里 开除 ,None
女 相 诶 kimi 男二 ,None
预感 会 很瘦 ,None
好好 考呐 想 老师 发 福利 ,None
奚梦瑶 事前 几天 反转 关 事 热 搜 好 ,Disgust
白天 理智 控制情绪 提高 工作效率 发挥 太阳 力量 晚上 发挥 月亮 力量 积累 情绪 释放 爱 哈哈 ,Happiness
本来 想 拍 太红 录影 ,None
好 加 微信 jiamin91575 ,None
背光 再 后期 ,None
alu 喜欢 红色 ,Love
体重 胖脸 ,None
今晚 10 点刚 搜 黄柏 塬 全是 李小萌 图 ,None
开心 ,None
买 鲜亮 橘色 粉色 珊瑚 色 ,Fear
501streetcar 往东 坐 看图 随手 一拍 时装周 大片 ,Love
您好 问 川航 面试 问题 面试 穿 衣服 ,None
佩服 坚持不懈 拖延 症 患者 想 送 礼物 都还没 完工 ,Love
我要 试下 skydiving 哈 ,Happiness
上次 小样 不用 他家 东西 ,None
超 好看 此片 纳入 硬盘 想 看书 看 评论 说 书里 心理 描写 完整 ,Love
扑哧 头发 丑 ,Disgust
不算 特别 白 ～ 中等 白 ,None
逼出来 兵慌马乱 日子 过多 看 开 一点点 ,None
买 号 票 ,None
张国荣 爬起来 说 啥时候 说 ,None
再也 忘记 容颜 ,None
江西 省会 南昌 看不出来 发展 痕迹 ,None
门卫 问 干嘛 说 避雨 ,None
哈哈哈 哈哈 说 忽略 错 胳膊 说 忽略 瘦 就行了 哈哈 ,Happiness
别以为 欺负 ,None
伐 忘 女主 好像 最后 死 ,None
杰大说 话 好羡慕 ,Love
央视 最穷 主持人 一心 事业 ,Love
我能 给你个 拥抱 朋友 ,None
美 晕过去 ,None
记得 去年 单独 照片 想 起来 很 感激 ,Love
旅程 比较 愉快 放心 ,Happiness
琴 本来 很 强 很 好看 没狼人 这部 角色 很多 很 ,Love
b 站 霸道 总裁 集合 ,None
哈哈哈 哈哈 看开 反正 估计 懂 后期 天仙 ,Disgust
待遇 想象 好 要进 工厂 ,Sorrow
想到 他会 难过 肯定 难过 ,Sorrow
准时 ,None
冰 三岁 ,None
加油 医生 朋友 太 幸福 ～ ,Love
嘿嘿 ～ 谢谢 学长 ～ 周二 晚上 有空 看 ～ 亲友团 行 哈哈 ～ ,Happiness
找 说 不对头 ,None
电脑 显示 爪机 不行 ,None
上海 哪有学 问问 老师 ,None
花粉 朋友 送 ～ ,None
对不起 嫌 车太黄 ,None
哈哈哈 笑 死 ,Happiness
贫贱之交 忘 糟糠之妻 堂 ,None
锯开 绳子 后来 发光 真的 震惊 ,None
沙发 瘫 吃水果 看电视 收拾 屋子 洗衣服 弄花 花呢 周末 一堆 事情 ,None
好人 狗 ,Disgust
看 直播 电视 ,None
掌握 之中 ,None
努力 出人头地 努力 没前途 昨天 被车撞 照样 工作 ,Sorrow
也许 明年 队 u23 差 说不定 还会 最大 得益 ,None
喜欢 看 男人 之间 撕 逼 ,Love
二十 喜欢 太 迷你 皮 不好 削 我试 炒湖 萝卜丝 脆脆 口感 很 好 ,Love
不介意 关键 要说 整 说 拍 局部 私信 整过 ,None
照片 不符 ,None
没事 妈 献殷勤 非奸 盗 干嘛 ,None
炮 王护体 流氓 近身 ,None
咁 睇 几多 诚意 ,None
前些天 说 与人为善 社会 批判 一无是处 应该 态度 ,Disgust
ok 鸟 ,None
汉莎 用过 几次 346 看得 急 一副 拉 起来 感觉 ,None
玩 埋 果份 唔 ,None
很 赔 ,None
某宝 安 哈哈 ,Happiness
没错 没错 哈哈哈哈 哈哈哈 题好 欣慰 ,Happiness
委屈 反正 无所畏惧 ,Happiness
面前 羞涩 ,Fear
小天使 胜利 ,Love
嘴唇 干一用 雾面 需要 滋润 每次 唇色 很美 很 自然 ,Love
妈 伤害 pyx ,None
威武 不行 上次 踢球 裸个 上半身 晒 伤 ,None
昨天 聪明 朋友 聊天 确实 激起 反思 段时间 确实 迷茫 找到 路 ,None
杨幂 额头 很 好看 ,Love
亲爱 睡 忍不住 ,None
致力于 研究 死而复生 恋尸癖 科学家 ,None
想 帮 整点 螺狮粉 哈哈 ,Happiness
一组 好好看 全存 ,Love
估计 瘦身 成功 国足 成功 ,None
机会 很 想 香港 吃 在霆霆 吃 口味 ,None
赶紧 浇水 好好 养着 死 行 不求 长 ,Sorrow
理解 程度 ,None
我会 那种 两个 轮子 两个 那种 滑 冰 跋边 ,None
家里 有个 一模一样 单位 周一 出差 ,None
阵亡 这天 最 生病 多喝水 ,None
肉松 小贝 外面 零称 好吃 吃 面包 很 幸福 ,Love
看 调色 害怕 不看 除非 小可爱 演 ,None
好 反正 混 胖子 界 嫌弃 ,None
变态 天气 变化 ⊙ ﹏ ⊙ ,Disgust
欺负 看 刘 总和 浩岚哥 收拾 ,None
亲亲 请问 您 问题 麻烦 您 详细描述 下哈 小德能 准确 定位 ,None
电脑 显示 爪机 不行 ,None
恩恩 不想 看埃 琳娜 纠结 多角恋 喜欢 纯粹 哈哈 ,Happiness
原来如此 喜欢 好 ,Love
文化 艺术 中心 比哥 鸡排 旁边 叫九记 面社 很 好吃 鱼肉 面 普通 面粉 甜品 糖百府 ,Love
单身 ,None
总体 素质 不错 喔 哈哈 ,Love
哥哥 很帅 很 暖 ,Love
二人转 阵容 厉害 ,Love
说 挺 好 支持 任盈盈 讨厌 东方不败 冲盈 好 非要 插一脚 ,Disgust
哈哈 他会 ,Happiness
走 朋友 哈 朋友 凑 昨天 得到 消息 ,None
抱 做 事情 ,None
感谢 感谢 期待 入坑 奈何 玩 谢谢 ,Love
胖子 不来 ,None
玩 ,Sorrow
男 不好 李梦男 多疼 ,None
写 萝卜丝 肉 ,None
省医心 儿科 比较 权威 ,Love
改变 ,None
6666 为啥 金 克斯 不行 ,None
反正 拍 好看 ,Love
现场 气氛 不好 评委 ,Disgust
看不惯 意淫 ,Disgust
恭喜 恭喜 会 越来越 好 ,Love
好 好 再 ,Happiness
好 亲包 顺风 哈哈 ,Happiness
恩 00 刚生 小猫 过好 吓人 ,None
听 起来 很 不错 ,Love
喜欢 快乐 单身 狗 ,None
希望 人才 好玩 紧张感 好 棒 ,Love
画 好看 画 喜欢 ,Love
喜欢 外国 怎么着 喷 中国 问 ,Disgust
支持 尊重 ,Love
哈哈哈 喜欢 做 甜点 ,Happiness
没挺过 萨米 整个 赛季 骄傲 38 场 不败 恩里克 指教 全是 运气 ,Disgust
喜欢 加 香菜 汤 喜欢 吃 香菜 哈哈哈哈 葱 ,Happiness
挺 想要 腹黑 那种 特别 霸气 ,None
— 谢谢 做 非 血缘关系 姐妹 我会 直爱 ,Love
两个 演 真 男人 回头 看 爆炸 ” 男人 之间 友谊 坚如 金刚 ” 放心 交付 后背 伙伴 ” ,Love
杨 瘦 ,None
光头 演员 江水 说 喜欢 喜欢 王 胜利 那种 ,Love
祖国 哪有嘻哈 看清楚 楼主 夸 爱豆 ,Disgust
有时候 兼职 杨湾 车上 收钱 哈哈 ,Happiness
好看 想 买 穿不下 估计 穿不下 转给 ,None
很淡 味道 略带 甜 夏天 水 解渴 ,None
叫骂 一句 看不见 也许 看不到 芋头 看得见 说 过分 请 注意 ,Disgust
第一部 看 懂 太 明白 两个 质子 锁死 科学 ,None
圈出 关键词 执行 ,Sorrow
天 真的 很漂亮 天蓝 白云 ,Love
情人 泪 不错 水培 比较 活 ,Love
一点儿 心疼 耳膜 ,None
哈哈哈哈 哈哈哈哈 过年 礼物 份 见者有份 ,Happiness
人贼 少 抖音 带到 不如 宅家 ,None
动漫 系 烂 两台 哈哈哈 ,Happiness
京东 配送 选 市区 加 花溪 主城区 ,None
说 抹 ,None
行家 ～ 去学 做菜 ,None
后来 生意 成功 会 sage ,None
说 懂 所说 永远 离开 ,None
师兄 忧伤 很 不同寻常 师妹 夏日 安好 夏天 秋天 还会 远 ,None
感觉 下次 活动 ,None
好 喜欢 feel ,Love
早就 搬出来 太远 号 家 约 起来 ,None
芋亲 第一 # 俞灏明 # ,Love
困到 不行 火车站 睡着 ,Sorrow
光棍节 快乐 起来 ,Sorrow
哈哈 所有 朋友 贵人 ,Happiness
呜呜 分钟 太难受 真的 ,Sorrow
哼 感谢 送 会 陪 遭罪 单位 神 算子 帮 掐指一算 ,None
恩 熬过来 ,None
很 好 厅堂 厨房 针线 扛 大件 会烧 几个 拿手菜 更好 ,Love
如花 很瘦 几天 吃饭 精神 不好 一下子 消瘦 ,None
太特 磨炼 入 地狱 天堂 ,Sorrow
歪 歪 ! ,None
第一个 说 汉子 情怀 矫情 回事 ,None
哈哈 问题 学生 老师 ,Happiness
92 年 放 经理 厉害 都还没 毕业 ,Love
看 家中 娘子 家中 母夜叉 ,None
66666 很 刺激 ,None
一群 老爷 骂 猪 队友 个个 三个 杀 人管 打到 半血 再 冲 ,Disgust
广东 广州 不看 get 不到 好看 ,None
谢 闹钟 相比 差距 一点点 需要 做 事 很多 ,Love
头发 长 头发 太多扎 丸子 头 好看 打算 最近 先 剪短 一点 超级 爱 丸子 头 ,None
师妹 有个 很棒 御用 摄影师 呦 美 ,Love
哈哈 瞎说 立定 跳远 太 精确 ,Happiness
算了 累 这么久 折腾 ,None
看 追 风筝 活捉 一只 喜欢 蓝 孩子 做出 努力 仙女 ,None
听到 陆琛 名字 心里 咯噔 陆臻 顾顺话 太多 带入 默默 ,None
新 一张 小红绳 放阿碧 ,None
放心 放心 杀手 放 ,None
办法 本科 选 英语 只能 硬着头皮 往下读 单位 学历 趁现在 年轻 赶紧 读 ,Sorrow
厉害 丢 ,None
23 号 放假 上班 22 号 ,None
混油 lamer 感 比较 清爽 现货 ,None
化妆 技术 越来越 好 好 回来 惊喜 ,Love
愉快 俯冲 ,Happiness
好赞 下次 尝尝 手艺 ,Love
哈哈哈 富 二代 ,Happiness
好看 ,Love
反正 看 跨界 歌王 喜欢 瑜 老板 疯狂 爱上 ,Love
想 拉肚子 便秘 太难受 反而 肠胃 不好 ,Sorrow
说 真 蚌埠 ,None
快 快 快 回来 假期 ,None
文文 化妆 真的 好棒 ,Love
难过 一会儿 ,Sorrow
梦瑶 摔 惊 天下 维密 路 ,Disgust
商家 说话 咄咄逼人 拉黑 顾客 衣服 买 质量 可怕 ,Disgust
啥时候 急死 ,None
大王 天天 小姐姐 浪 浪 ,None
美国 好多 强 ,None
希望 机会 唐文 较量 学术交流 ,None
爱不爱 恰 ,None
哦 好吃 嘿嘿 ,Happiness
棒 估计 会 油腻腻 我蛮 喜欢 男生 会 说 满脸 油光 ,Love
p6 完转 荣耀 6p 转 mate 续航 比较 看重 p 遭 不住 ,None
同事 看 好看 ,Disgust
说 祝福 说 真的 ,Sorrow
男神 看 两个 可爱 仙女 忍心 回答 ,None
上海 有家 柚子 日料 自助 不错 ,Love
欧 老师 回来 ,None
哈哈哈哈 哈哈哈 胡 行列 ,Happiness
黑子 想不到 吴京和峰 哥 朋友 啪啪 打脸 ,Disgust
刚想 做点 热水 涮 涮 杯 烫手 疼死 ,Sorrow
爱玩 排位 一玩 排位 输 肺 气炸 ,Disgust
喔 哈哈 看清楚 ,Happiness
恢复 好好 快 分享 瘦 快 ,Love
高兴 说 ,None
男生 头像 事情 头像 老父亲 ,None
会 慢慢 发现 读书 更累 默默 扫地 ,None
不用 抠 轻松 用手 剥开 抖落 ,None
兄弟 快充 很 稀奇 技术 用户 设备 属于 费力 讨好 ,Disgust
三次 太 狗血 哈哈 ,Happiness
夏天 233 好好 休息 ,None
很 现实 剧情 需要 ,None
哒 说不定 会 说 公司 不好 公司 发展前途 ,None
影坛 超过 歌坛 华语音乐 台湾 利害 犯贱 找 骂 ,Disgust
我进 手术室 发抖 ,Fear
剧透 一点点 精彩 剧透 一点点 ,None
碰头 砸 好 甘 记得 走 ! ,Happiness
应该 上班 很 忙 平日 休息 哦 周末 愉快 ,Love
后来 警惕 录像 警惕 程度 总 有错 ,Disgust
晚安 爱 兔子 ,Love
哈哈 剪刀手 最后 那张 有没有 男神 唱歌 感觉 ,Happiness
很 喜欢 哈哈 ,Happiness
支队长 找钱 人脉 好 ,Love
找 感去 别的 地方 楼 里 说话 阴阳怪气 骂 讨来 ,Disgust
李是 样 关注 薛之谦 确实 挺渣 ,Disgust
蟹壳 红色 肯定 煮熟 醉 蟹壳 青色 无论如何 醒 ,None
筹备 新 演出 哈 下半年 排练 演出 到时候 请 参加 哈 ,Happiness
风景 e16 人像 e50 ,None
黑 怕不怕 黑 红 中国 hiphop ,Disgust
注意 点 眼睛 帅哥 ,None
想 吃 奇怪 姐姐 ,None
希望 看 看不懂 哭 成 烟熏 妆 ,Sorrow
不想 闰土 夫妇 ,Disgust
好多 重复 唷 ,Sorrow
喜欢 看 看 太宽 ,None
最近 推广 解 燃眉之急 ,None
光碟 不见 算了 看 光碟 讲 东西 啥子 奇人 奇事 ,None
很多 人比 幸运 如大梅 邱 爱华 孙玥 ,None
丸子 真的 好会 讲 ,Love
说 五官 很 想 说 自知之明 ,None
真 想象 事情 ,None
变态 挺 刺激 挺 好看 ,Love
晚安 好 梦 亲 ,Love
哈哈 定居 ,Happiness
情况 ,None
哦 呵 刚上 地铁 ,None
美 美 从未 美过 ,Love
想 看多 实在 憋不住 吐 槽 ,Disgust
争 爸妈 背后 一整套 完整 社会 行为准则 体系 亲戚朋友 做 后盾 糊弄 ,None
好 心疼 抱抱 他会 报应 ,Sorrow
年前 考了 三次 哈哈 ,Happiness
约 约 约 约个 局 ,Happiness
姐姐 好 可爱 说 三岁 感觉 好 聪明 ,Love
日本 几代 贞子 好看 ,Love
慧姐 身价 一亿 靠边站 至少 五亿 哈哈 ,Happiness
哈哈哈 指望 成 网红 卖 面膜 ,Happiness
政策 到位 执行 到位 ,None
垃圾 懂 生活 不如意 喷比 强 ,Disgust
总要 有个 努力 方向 哈哈 努力 方向 ,Happiness
呵 阿甘 估计 批评 ,None
黄帝 纪年 4715 年 往前 推 轩辕黄帝 新石器 时代 ,None
最好 ,Love
度系 向往 咗 好 耐架 系 第一次 旅行 揾 d 安全 坐车 地方 ,Love
帅哥 搞 基去 姐妹 活 ,Sorrow
每次 定位 一种 莫名 不爽 ,Disgust
当初 v9 上市 荣耀 爸爸 出品 ,None
脑残粉 闻着 偶像 屁 特别 香 香 喜欢 ,Disgust
山上 毛 樱桃树 开花 樱桃园 树 六月份 ,None
故意 坑 ,Disgust
安逸 看书 好 感觉 讲 ,None
比喻 形象 ,Love
明天 木有 阳光 好好 享受 ,Love
说实话 女粉 好看 ,None
长高 ,None
笑 请 收到 回复 破腹 自杀 以谢 嫉妒 ,None
不买 包包 喜欢 好 舍不得 爱 买 口红 鞋子 ,Love
这装 b 虐狂 ,Disgust
噫 图 三 靠右 高楼 难不成 传说 baby 最近 巨资 买下 房产 ,None
天呐 站 好久 笑 死 老纸 老 搞 pao 老 样儿 ,Happiness
太巴适 肉 哎能 吃 两片 好 咯 ,Love
火车 不好 买 几天 票 淘宝 加价 买 想要 点儿 ,None
明白 接受 建议 ,None
太 严肃 太 保守 ,Disgust
好 交流 鲫鱼 确认 窝里 鲫鱼 才行 ,None
注意 看 双引号 朋友圈 类似 ,None
唱 那首 独家 记忆 超 好听 ,Love
主人 说话 野狗 乱叫 ,Disgust
没错 基础 款百搭 可爱 ,Love
厉害 巧 印象 深 ,None
五官 很 美 传说 中演 香妃 没见 很 纳闷 跳 好 ,Love
故意 在家 闲出 头子 ,None
咩 内心 仰天 长笑 谢谢 宝贝 ,Happiness
说 很 爱惜 ,Sorrow
没复 过习 晚 自修 玩 ,None
女主 扭捏 造作 看 眼 速度 杠杠 滴 感情 发展 挺 真实 ,Love
看 小妖精 作怪 赶快 找 祸害 珠三角 ,None
还好 身边 朋友 三观 挺直 笔直 ,None
ht 微笑 头 屈指可数 ,None
哈哈哈 感觉 两个 好 朋友 玩 开心 ,Happiness
照片 角度看 感觉 亲离 好近 东东 交流 几句 ,None
风靡一时 说 蓝 风铃 ,Love
好多 心情 很 好 享受 最后 旅行 学校 见 咯 ,Love
受不了 演出 哈哈哈 男 女高音 唱 中国国歌 ,Happiness
身上 感觉 不到 ,None
应该 画 ,None
头条新闻 碍事 会 幸福 好 ,None
大年初二 突发 年 没过 好 ,Sorrow
日式 饮食 最 好吃 ,Love
哇塞 新年 礼物 哦 ,Love
最差 全程 手 插 兜 ,Disgust
我过 几天 求 推荐 ,None
疯狂 考拉 后来 娃大 买 ,None
明白 节目 真的 不错 短 意犹未尽 ,Love
好看 超 可爱 ,Love
会 想 试过 办法 总是 不去 试试 真的 很 可惜 ! ,Sorrow
有罪 我要 悔过 专一 双十 一个月 工资 贡献 松鼠 最近 ,Sorrow
喜欢 红豆 珍珠 ,Love
龙哥 看不起 中国 龙哥 地域 黑 国界 黑醉 好好 vip ,Disgust
很多 依旧 努力 方向 前进 路上 定型 好 ,Love
太妃 榛果 铁 星巴克 喝 第一杯 花式 咖啡 最 喜欢 一款 ,Love
" , 问题  ",None
好 美丽 饼 饼 ,Love
堵车 好多 ,None
说走就走 旅行 放宽 25 岁 ,None
香港 黑 ,None
" 太 吃惊 , 24 小时 吃  ",None
女主 性格 很 喜欢 男 猪脚 演 dreamhigh 古装 挺帅 ,Love
哈哈哈 看 懂 姐姐 名花有主 表 难过 ,Happiness
说 肚子 28 周 ,None
哈哈 朋友 他姐 表哥 谈住 未来 亲家 ,Happiness
玩 胡莱 三国 自私 说 句 军师 手游和涛 没关系 看 看 ,None
试试 真的 好好 闻 ,Love
好 p 成 ,None
恢复 出厂 设置 ,None
节目 最近 说 几个 月 前 事 ,None
哈哈哈哈 哈哈哈哈 一个个 老油条 ,Happiness
喜欢 口红 ,Love
学校 太 孤单 ,None
昨晚 半夜 睡 睡 一会儿 ,None
哇塞 好羡慕 养 好 肯定 母乳 营养 爆足 喂养 耐心 ,Love
那家店 感觉 多久 会 关门 ,None
耶耶耶 愉快 预定 ,Happiness
南 热 评里 关注 胡歌 敢 自称 胡椒 尽给 胡椒 招黑 ,Disgust
还好 人管 ,None
喝醉 喝 旁边 看 ,Disgust
路上 小心 点 事情 ,None
真 痛苦 感觉 喘气 真的 心 手 捏 疼 ,Sorrow
基因 行 肯定 眼睛 没准 单眼皮 ,None
注意 身体 哦 ,Love
肉疼 二手 ,Disgust
下班 一会儿 朋友 东北 菜馆 吃饭 ,None
帅 脸 很长 拍照片 角度 问题 ,None
好 喜欢 id 名 超 喜欢 星辰 大海 词 ,Love
好 想 再 学校 ,None
hobo 不想 再用 纸 太薄 喜欢 ,Disgust
我家 萨摩 整个 巧克力 面包 偷吃 吓死 观察 还好 没事 ,Fear
真的 差个 双眼皮 ,None
未 推广 乜嘢 好 方法 介绍 想 快 滴 升级 ,None
看 迷人 死 好多 超 美的 画面 没截 ,Love
典型 懒惰 推诿 笨拙 管理 方式 ,Disgust
相由 心生 内心 冷漠 会心 冷 挺 冷 亲近 事是 避不开 逼一逼 就行了 ,Sorrow
哈哈 相机 ,None
说谎 打草稿 ,None
复杂 髌骨 手术 含 住院 6300 元 毛孩子 一辈子 幸福 总想 做 完美 一点 走路 痛 ,Love
先 下载 几天 试试看 上瘾 游戏 自制力 超差 ,None
啤酒 味道 不错 ,Love
完 两盒 湿 敷 太棒 ,Love
好吃 ,Love
输 关 毛事 哦 气 ,Disgust
哈哈 哒 光线 好 美 ,Happiness
好事 好好 好消息 ,Love
mate p 亲儿子 ,None
天天 晒 照片 真 明星 好看 一张 老脸 真受不了 哪来 自信 ,Disgust
坝上 草原 青岛 泰山 内蒙 几小时 车程 以内 （ 动车 大巴 ） ,None
快手 骗钱 承认 哈哈 幸好 截图 ,Happiness
简单 想 思念 狍子 ,None
美女 增生 那块 好些 ,None
娘娘 真去 吃 披萨 想 吃 ,None
唉 粉丝 ,Sorrow
情况 听说 好像 晨曦 后援 群里 有人 ,None
好类 机会 游 ,Happiness
18 岁 哭 死 ,Sorrow
狗爱豆 内场 前排 小号 哈哈哈 哈哈哈 ,Happiness
说 雨景 看不到 ,Sorrow
需要 介绍 当地 搞 摄影 朋友 拍 火车 比较 好 机位 ,None
胸口 砍 疤 ,None
id 出卖 ,None
伤害 孩子 ,Disgust
快播 说 受乐视 举报 这是 爆 好 先头 源尾 弄清楚 ,Disgust
好 可爱 花花 ,Happiness
八月 四川 到时候 找 聊哈 上课 ,Disgust
惊呆 惊呆 ,Fear
希望 ht 李小龙 nba 李小龙 版权 永远 eb ,Disgust
好 会 你好 ,None
看好 指变 头号 种子 小德 去年 该是 穆雷 一段时间 ,None
显摆 不怕 冷 ,None
谢谢 哈哈 路上 很 期待 ,Happiness
小学 妹 厉害 惹 ,Love
哈哈 没错儿 工欲善其事 必先利其器 ,Happiness
看 照片 南非 真的 好好 玩儿 ,Love
萧爷 杭州 锤 友们 乐坏了 拉姐 早点 休息 ,Love
那条 入 这件 褶皱 真的 好 喜欢 详情 里 那种 粉色 会出 ,Love
学学 公路 软件 不难 ,None
海南 降温 ,None
真的 说 钱 真的 别的 破 玩意 道德 绑架 收钱 工具 ,Disgust
发现 牛批 ,None
先看 最 好看 ,Love
重点 番位 导演 ,None
细水长流 也许 ,None
高数 天赋 ,Happiness
周六 周日 正好 两天 睡 床 噢 ,None
没关系 流行 姐弟恋 老 ,Love
爱 啥时候 回来 ,Happiness
会 联想 神龙 ,None
国产 土豆 金 包装 好吃 ,Love
哈哈 抢 很多 妹子 ,Happiness
口袋 本好 随身携带 起些 督促 作用 2015 年 头 买 东西 哈哈 ,Love
说 说话 方式 问题 ,Happiness
机会 找个 男朋友 ,None
特别 希望 张韶涵 再火 ,Love
早上 : 35 分在 伪 皇宫 东大桥 坏 ,None
收拾 清爽 转出 高 价格 塞 ,None
暴露 守信用 滴 : - p ,None
先 告诉 老师 英俊 清秀 少年 ,None
好 路上 注意安全 南京 下雨 降温 ,None
很 迟睡 睡不着 感冒 吃药 好 辛苦 ,Sorrow
双鱼座 精神支柱 美梦 ,None
脑残 太 特别 公约 良俗 社会 女生 变态 好伐 ,Disgust
展现 展现 水平 别上来 diss 讲道理 ,Disgust
穆 老师 木 老师 ,None
真的 很 喜欢 墨渊 喜欢 ,Love
有空 龙洞 请 楚贤卡 食堂 物顿 ,None
停 芒果树 芒果 太猛 去夏 芒果 车 砸 坑 运气 你好 点 没掉 玻璃 ,None
这家 服务 很 好 贵 推荐 朋友 ,Fear
尼玛 流量 不如 微信 ,Disgust
冷 地方 感受 一下子 ,None
好 快点 说 笑话 ,None
逆天 ,None
回来 前一天 通宵 哈哈 ,Happiness
爽约 号 会 自驾游 ,None
喜欢 陡 溜 够快 ,None
没错 哈哈哈哈 ,Love
加 起来 烦 ,Disgust
团队 项目 需要 合作 ,None
恩 礼拜 总要 吃 吃 老 味道 ,Love
婆婆 总得 ,None
说 ,Disgust
升级 总是 很 害怕 过段时间 再 升级 机智 ,Fear
看 直播 六块钱 麻辣烫 梗 不行 ,None
有没有 听 朋友 说起 你断 片儿 应该 蛮 好 一种 回忆 ,None
千万别 转 一年 文科 东西 真的 学不完 习惯 理科 思维 很难 变到 文科 思维 跟不上 会 越来越 烦 理科生 ,Sorrow
笑傲江湖 很 喜欢 陈乔恩 ,Love
再 当初 还会 好 ,None
生病 熬 夜 慢慢 玩儿 安 ,None
哈哈 去学 工程力学 折腾 楼上 逗 妹子 ,Happiness
阎魔 需要 效果 命中 ,None
老帕 离开 时 国安 球迷 感受 ,None
大丰收 妈 太 厉害 ,Love
喜欢 怪兽 ,Love
回来 说 ,None
70 代表 老态龙钟 代表 生活 自理 ,None
哦 穿越时空 年代 ,None
几天 好 我要 睡觉 明儿 上课 古乃 皇上 儿 ,None
上星 播出 网上 肯定 片源 ,None
估计 不行 闲鱼 只认 平台 截图 放上去 证据 多点 总是 好 ,None
此情 此语 真想 爆粗 哈 放心 早点 回来 ,None
粉 很 省心 黑料 双商 爆表 担心 太 拼 瞒 伤 瞒 病 心疼 死 ,Sorrow
哈哈哈哈 京东 天猫 超市 我妈 此生 挚爱 ,Happiness
面目 比较 和蔼 女性 目标 客户 ,None
哈哈 不算 哦 想 ,Happiness
官媒 说 义乌 经商 欺骗 民众 愚弄 老百姓 ,Disgust
嘿嘿嘿 韩雪 姐姐 潘 老师 几次 节目 开心 ,Happiness
哦哦哦 sorry 尊贵 v ,None
肯定 假 那种 身份 拍 视频 ,None
配 很 好 ,Love
你好 棒 拍 明星 ,Love
黄 18 18 岁 观众 列 哈哈哈 北美 电影分级 该片 绝逼评 r 级 ,Happiness
主管 负责 光拿钱 办事 凉山 情况 党要 负 责任 ,Disgust
哈哈 明天 ,Happiness
快 棒棒 哒 回去 好好 休息 mua ,Love
休息 扣 休息 耍 ,None
告诉 ins 关注 良药 龙俊 ,None
冷风 划 脸 刺痛 ,Sorrow
我要 跟着 前辈 步子 ,Love
您好 查询 您 问题 职能 单位 中 热线 会 督促 感谢您 政府 工作 支持 关注 ,None
不太 懂素 锦 为啥 镜子 说话 手上 镜子 是夜 华 镜子 素素 ,None
黎明 拍 大城 小事 ,None
哦 记 起来 最近 记忆力 不好 ,Sorrow
真 好 书中 甲子 寒尽 不知 年 ,Love
好像 姿态 ,None
对滴 本来 想 买 黑 灰 太 死沉 做个 粉粉 公主 ,None
治愈 能力 ,None
谢谢 写生 再 水平 确实 有限 ,Happiness
哒 哒 哒 好 喜欢 蓝色 衣服 美爆 好 拳 做一套 ,Love
几个 点赞 朋友圈 却 从没 互动 也许 一路 ,Disgust
想 几号 你家 客栈 ,None
胆子 真 10 斤 巨大 儿 产妇 条件 不好 骨盆 太小 胎儿 过大 很 肩膀 卡住 宝宝 永久性 损伤 ,Fear
有种 劫后 馀 生 赶脚 ,None
谢谢您 取关 走 好 送 ,Disgust
快本 一生 遗憾 ,Sorrow
真 新鲜感 就会学 哈 评论 里 站 新 哥哥 黑小新 哥哥 搞不清 悲哀 ,Disgust
大美人 说好 请 吃 东西 ,None
哈哈 太 可爱 四哥 太子妃 升职 记 九王 挺帅 ,Love
转移 话题 污蔑 魔 道 抄袭 强行 漂白 傻子 一生 黑 解释 ,Disgust
总是 谦虚 虚 化作 甚 ,None
每次 完课 放松 感觉 肌肉 很多 心累 ,Sorrow
我用 粉底液 补妆用 气垫 雪花 秀 赞 ,Love
ps 设计 特色 弄 黑白 两个 版本 比较 好 适配 照片 ,None
炸 喜欢 只不过 失望 会 喊 那句 加油 ,Sorrow
